pickup_datetime,passenger_count,trip_distance
2016-06-22,360642,0.0
2016-06-23,380170,0.0
2016-06-24,397252,0.0
2016-06-25,402625,0.0
2016-06-26,349019,0.0
2016-06-27,343179,0.0
2016-06-28,345267,0.0
2016-06-29,344952,0.0
2016-06-30,348553,0.0
2016-07-01,376207,0.0
2016-07-02,326386,0.0
2016-07-03,303506,0.0
2016-07-04,265133,0.0
2016-07-05,308347,0.0
2016-07-06,320082,0.0
2016-07-07,350879,0.0
2016-07-08,376455,0.0
2016-07-09,374675,0.0
2016-07-10,327276,0.0
2016-07-11,309193,0.0
2016-07-12,329957,0.0
2016-07-13,363784,0.0
2016-07-14,381844,0.0
2016-07-15,400760,0.0
2016-07-16,398331,0.0
2016-07-17,348867,0.0
2016-07-18,342680,0.0
2016-07-19,340079,0.0
2016-07-20,354964,0.0
2016-07-21,377089,0.0
2016-07-22,414036,0.0
2016-07-23,412441,0.0
2016-07-24,354567,0.0
2016-07-25,359247,0.0
2016-07-26,353534,0.0
2016-07-27,364033,0.0
2016-07-28,384424,0.0
2016-07-29,418171,0.0
2016-07-30,425628,0.0
2016-07-31,355318,0.0
2016-08-01,325627,0.0
2016-08-02,336761,0.0
2016-08-03,347141,0.0
2016-08-04,364408,0.0
2016-08-05,387117,0.0
2016-08-06,390158,0.0
2016-08-07,341906,0.0
2016-08-08,313093,0.0
2016-08-09,338092,0.0
2016-08-10,360027,0.0
2016-08-11,393203,0.0
2016-08-12,423132,0.0
2016-08-13,426756,0.0
2016-08-14,365238,0.0
2016-08-15,337098,0.0
2016-08-16,360143,0.0
2016-08-17,363077,0.0
2016-08-18,376700,0.0
2016-08-19,401725,0.0
2016-08-20,398640,0.0
2016-08-21,366757,0.0
2016-08-22,318245,0.0
2016-08-23,333869,0.0
2016-08-24,350549,0.0
2016-08-25,373210,0.0
2016-08-26,401125,0.0
2016-08-27,411492,0.0
2016-08-28,369582,0.0
2016-08-29,331417,0.0
2016-08-30,339327,0.0
2016-08-31,360090,0.0
2016-09-01,382092,0.0
2016-09-02,382826,0.0
2016-09-03,380735,0.0
2016-09-04,359063,0.0
2016-09-05,306116,0.0
2016-09-06,355915,0.0
2016-09-07,370958,0.0
2016-09-08,407228,0.0
2016-09-09,452249,0.0
2016-09-10,474635,0.0
2016-09-11,393872,0.0
2016-09-12,346111,0.0
2016-09-13,366344,0.0
2016-09-14,390128,0.0
2016-09-15,403497,0.0
2016-09-16,439465,0.0
2016-09-17,453741,0.0
2016-09-18,397760,0.0
2016-09-19,346398,0.0
2016-09-20,357448,0.0
2016-09-21,359311,0.0
2016-09-22,387441,0.0
2016-09-23,426816,0.0
2016-09-24,463454,0.0
2016-09-25,391841,0.0
2016-09-26,344150,0.0
2016-09-27,369338,0.0
2016-09-28,391905,0.0
2016-09-29,411788,0.0
2016-09-30,476802,0.0
2016-10-01,437328,0.0
2016-10-02,382206,0.0
2016-10-03,314134,0.0
2016-10-04,335843,0.0
2016-10-05,376877,0.0
2016-10-06,408641,0.0
2016-10-07,423088,0.0
2016-10-08,471318,0.0
